,date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper
64,2014-01-01,Jan 2014,AMR,Region of the Americas,Costa Rica,CRI,1025.0,,,0.0,0.0,,0.0,0.003592438481412875,,
65,2014-01-01,Jan 2014,AMR,Region of the Americas,Cuba,CUB,,,,,,,,,,
66,2014-01-01,Jan 2014,AMR,Region of the Americas,Curaçao,CUW,,,,,,,,,,
67,2014-01-01,Jan 2014,AMR,Region of the Americas,Dominica,DMA,0.0,,,,,,,,,
68,2014-01-01,Jan 2014,AMR,Region of the Americas,Dominican Republic,DOM,942.0,,35.0,5.0,0.005307855626326964,0.03715498938428875,0.001725625058516838,0.01234297303007081,0.02601373363103694,0.05129694471771418
69,2014-01-01,Jan 2014,AMR,Region of the Americas,Ecuador,ECU,836.0,836.0,2.0,0.0,0.0,0.002392344497607655,0.0,0.004402814301844561,0.0002898554409049273,0.00861500846532992
70,2014-01-01,Jan 2014,AMR,Region of the Americas,El Salvador,SLV,1785.0,536.0,7.0,0.0,0.0,0.00392156862745098,0.0,0.002064465188223742,0.001578083171564962,0.008063138820401772
71,2014-01-01,Jan 2014,AMR,Region of the Americas,French Guiana,GUF,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.05205805786307971,0.0,0.05205805786307971
72,2014-01-01,Jan 2014,AMR,Region of the Americas,Grenada,GRD,,,,,,,,,,
73,2014-01-01,Jan 2014,AMR,Region of the Americas,Guadeloupe,GLP,,,,,,,,,,
74,2014-01-01,Jan 2014,AMR,Region of the Americas,Guatemala,GTM,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611924211339211,0.0,0.01611924211339211
75,2014-01-01,Jan 2014,AMR,Region of the Americas,Guyana,GUY,,,,,,,,,,
76,2014-01-01,Jan 2014,AMR,Region of the Americas,Haiti,HTI,,,,,,,,,,
77,2014-01-01,Jan 2014,AMR,Region of the Americas,Honduras,HND,732.0,0.0,112.0,0.0,0.0,0.1530054644808743,0.0,0.005026776067422425,0.1276842010440374,0.1811590232726304
78,2014-01-01,Jan 2014,AMR,Region of the Americas,Jamaica,JAM,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1088811606793529,0.0,0.1088811606793529
79,2014-01-01,Jan 2014,AMR,Region of the Americas,Martinique,MTQ,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.02085869534905738,0.0,0.02085869534905738
80,2014-01-01,Jan 2014,AMR,Region of the Americas,Mexico,MEX,5190.0,783.0,262.0,0.0,0.0,0.05048169556840077,0.0,0.0007105142193097921,0.0446832151843435,0.0567920607126341
81,2014-01-01,Jan 2014,AMR,Region of the Americas,Montserrat,MSR,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
82,2014-01-01,Jan 2014,AMR,Region of the Americas,Nicaragua,NIC,2074.0,242.0,0.0,0.0,0.0,0.0,0.0,0.00177704957649644,0.0,0.00177704957649644
83,2014-01-01,Jan 2014,AMR,Region of the Americas,Panama,PAN,,,,,,,,,,
84,2014-01-01,Jan 2014,AMR,Region of the Americas,Paraguay,PRY,3153.0,59.0,2.0,1.0,0.0003171582619727244,0.0006343165239454488,8.029719738884425e-06,0.0017658121821038,7.682790721684093e-05,0.002289471709621462
